source airport, destination airport, distance (weighted km), number of passengers, aircraft type, expected time, ticket cost, net profit
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1077.9964306229992,26,Boeing 737-600,142.37841905421377,323.2127887636091,-3135.1640510070065
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1077.9964306229992,26,Boeing 767-800,142.37841905421377,236.7437512976377,-7268.033164837477
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1077.9964306229992,26,Airbus A200-100,146.24777756761222,278.3748367933058,-4036.435133502935
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,1077.9964306229992,26,Airbus A220-300,146.24777756761222,214.21348192466743,-4712.696602342683
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2527.6122138520327,5,Boeing 737-600,247.96599011131445,607.1770160477753,-18640.334392666697
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2527.6122138520327,5,Boeing 767-800,247.96599011131445,460.2341153638795,-23794.103764312567
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2527.6122138520327,5,Airbus A200-100,260.27365471200955,519.9012653280514,-18456.494919145825
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,2527.6122138520327,5,Airbus A220-300,260.27365471200955,390.21214362683287,-16779.122175953813
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,884.4609019203916,9,Boeing 737-600,129.19479993278273,285.30124868803756,-7617.543339970602
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,884.4609019203916,9,Boeing 767-800,129.19479993278273,206.90596512704897,-9869.414536560234
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,884.4609019203916,9,Airbus A200-100,131.90472949182606,246.1290889317573,-7753.066301350355
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,884.4609019203916,9,Airbus A220-300,131.90472949182606,190.71622531532884,-7437.932787297825
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3000.3201727274522,14,Boeing 737-600,280.1668047486046,699.7754492506273,-15185.127248738609
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3000.3201727274522,14,Boeing 767-800,280.1668047486046,533.1125118661242,-22763.904256683505
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3000.3201727274522,14,Airbus A200-100,295.30635917412064,598.6610762848633,-15864.518521548876
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,3000.3201727274522,14,Airbus A220-300,295.30635917412064,447.60388087235054,-15218.531949659919
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,932.7187338905179,9,Boeing 737-600,132.48211818687852,294.7544418198627,-7869.943596590332
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,932.7187338905179,9,Boeing 767-800,132.48211818687852,214.34597824005954,-10224.30316205084
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,932.7187338905179,9,Airbus A200-100,135.48114984534334,254.1695241556424,-8006.340010902735
