Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Denver International Airport,Orlando International Airport,Airbus A220-300,259.49999304746603
Denver International Airport,Miami International Airport,Boeing 737-600,265.59923717391183
Denver International Airport,Miami International Airport,Boeing 767-800,265.59923717391183
Denver International Airport,Miami International Airport,Airbus A200-100,279.45765176331355
Denver International Airport,Miami International Airport,Airbus A220-300,279.45765176331355
Denver International Airport,Charlotte Douglas International Airport,Boeing 737-600,216.840472274276
Denver International Airport,Charlotte Douglas International Airport,Boeing 767-800,216.840472274276
Denver International Airport,Charlotte Douglas International Airport,Airbus A200-100,227.2583710412175
Denver International Airport,Charlotte Douglas International Airport,Airbus A220-300,227.2583710412175
Denver International Airport,Seattle-Tacoma International Airport,Boeing 737-600,180.3088410372681
Denver International Airport,Seattle-Tacoma International Airport,Boeing 767-800,180.3088410372681
Denver International Airport,Seattle-Tacoma International Airport,Airbus A200-100,187.5139777685439
Denver International Airport,Seattle-Tacoma International Airport,Airbus A220-300,187.5139777685439
Denver International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,134.65036915302127
Denver International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,134.65036915302127
Denver International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,137.84008691423975
Denver International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,137.84008691423975
Denver International Airport,Newark Liberty International Airport,Boeing 737-600,253.50182428898398
Denver International Airport,Newark Liberty International Airport,Boeing 767-800,253.50182428898398
Denver International Airport,Newark Liberty International Airport,Airbus A200-100,266.29633596656896
Denver International Airport,Newark Liberty International Airport,Airbus A220-300,266.29633596656896
Denver International Airport,San Francisco International Airport,Boeing 737-600,174.10336397614546
Denver International Airport,San Francisco International Airport,Boeing 767-800,174.10336397614546
Denver International Airport,San Francisco International Airport,Airbus A200-100,180.76276211212485
Denver International Airport,San Francisco International Airport,Airbus A220-300,180.76276211212485
Denver International Airport,George Bush Intercontinental Airport,Boeing 737-600,164.08237560049335
Denver International Airport,George Bush Intercontinental Airport,Boeing 767-800,164.08237560049335
Denver International Airport,George Bush Intercontinental Airport,Airbus A200-100,169.86048128051124
Denver International Airport,George Bush Intercontinental Airport,Airbus A220-300,169.86048128051124
Denver International Airport,Logan International Airport,Boeing 737-600,270.2446067794887
Denver International Airport,Logan International Airport,Boeing 767-800,270.2446067794887
Denver International Airport,Logan International Airport,Airbus A200-100,284.5115568381557
Denver International Airport,Logan International Airport,Airbus A220-300,284.5115568381557
Denver International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,264.87941240942996
Denver International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,264.87941240942996
Denver International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,278.67452225175776
Denver International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,278.67452225175776
Denver International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,143.89961506519649
Denver International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,143.89961506519649
Denver International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,147.90275465070707
